dataset,variant,runtime,peakmem
dbpedia,static,0:33.45,473220
dbpedia,static,0:33.48,473376
dbpedia,static,0:33.85,473176
kadaster,static,0:05.30,256552
kadaster,static,0:05.48,256352
kadaster,static,0:05.38,256504
energie,static,0:01.71,9824
energie,static,0:01.71,9728
energie,static,0:01.71,9608
dbpedia,dynamic,0:45.41,1708920
dbpedia,dynamic,0:45.78,1708856
dbpedia,dynamic,0:45.05,1708912
kadaster,dynamic,0:06.86,441416
kadaster,dynamic,0:07.08,440884
kadaster,dynamic,0:07.07,440912
energie,dynamic,0:01.71,53072
energie,dynamic,0:01.70,53224
energie,dynamic,0:01.69,53112
