primary,secondary,variant,runtime,peakmem
dbpedia,kadaster,static,0:58.52,1084880
dbpedia,kadaster,static,0:58.60,1084888
dbpedia,kadaster,static,0:59.70,1084880
dbpedia,energie,static,0:48.16,790608
dbpedia,energie,static,0:48.19,790592
dbpedia,energie,static,0:48.75,790612
kadaster,energie,static,0:11.63,336460
kadaster,energie,static,0:11.79,336532
kadaster,energie,static,0:11.93,336376
dbpedia,kadaster,dynamic,0:37.31,3085764
dbpedia,kadaster,dynamic,0:42.15,3085624
dbpedia,kadaster,dynamic,0:40.39,3085692
dbpedia,energie,dynamic,0:25.61,2473536
dbpedia,energie,dynamic,0:28.86,2473404
dbpedia,energie,dynamic,0:28.28,2473376
kadaster,energie,dynamic,0:07.73,609912
kadaster,energie,dynamic,0:07.60,609964
kadaster,energie,dynamic,0:07.45,609596
