dataset,variant,stage,runtime,peakmem
dbpedia,static,1,0:15.77,1840
dbpedia,static,2,0:40.35,1676936
dbpedia,static,1,0:15.65,1956
dbpedia,static,2,0:40.08,1676564
dbpedia,static,1,0:26.36,1924
dbpedia,static,2,0:39.72,1676688
kadaster,static,1,0:19.94,1520
kadaster,static,2,4:20.02,6047940
kadaster,static,1,0:15.88,1596
kadaster,static,2,4:21.61,6047928
kadaster,static,1,0:19.28,1752
kadaster,static,2,4:17.27,6047948
energie,static,1,0:19.17,1736
energie,static,2,4:44.70,6985900
energie,static,1,0:17.37,1740
energie,static,2,4:42.90,6985788
energie,static,1,0:16.12,1580
energie,static,2,4:42.14,6985996
dbpedia,dynamic,1,1:15.82,4309700
dbpedia,dynamic,1,1:16.86,4310040
dbpedia,dynamic,1,1:16.47,4309684
kadaster,dynamic,1,0:21.03,3081232
kadaster,dynamic,1,0:20.99,3081372
kadaster,dynamic,1,0:22.96,3081328
energie,dynamic,1,0:22.85,3001512
energie,dynamic,1,0:23.38,3001504
energie,dynamic,1,0:17.89,3001752
